Name,Students
大同大學,129
南臺科技大學,97
南臺科技大學,793
南臺科技大學,"12,519"
南臺科技大學,121
南臺科技大學,250
南臺科技大學,352
南臺科技大學,"3,748"
南臺科技大學,144
崑山科技大學,36
崑山科技大學,305
崑山科技大學,"7,050"
崑山科技大學,15
崑山科技大學,156
崑山科技大學,"2,681"
崑山科技大學,259
崑山科技大學,35
嘉南藥理大學,188
嘉南藥理大學,"9,425"
嘉南藥理大學,87
嘉南藥理大學,3
嘉南藥理大學,194
嘉南藥理大學,"1,918"
嘉南藥理大學,419
樹德科技大學,34
樹德科技大學,249
樹德科技大學,"7,430"
樹德科技大學,8
樹德科技大學,424
樹德科技大學,"1,344"
樹德科技大學,557
樹德科技大學,450
慈濟大學,114
慈濟大學,344
慈濟大學,"2,896"
慈濟大學,29
臺北醫學大學,563
臺北醫學大學,644
臺北醫學大學,"4,477"
臺北醫學大學,2
臺北醫學大學,307
中山醫學大學,180
中山醫學大學,514
中山醫學大學,"5,853"
中山醫學大學,162
中山醫學大學,124
龍華科技大學,290
龍華科技大學,"6,938"
龍華科技大學,37
龍華科技大學,555
龍華科技大學,112
龍華科技大學,"3,674"
輔英科技大學,159
輔英科技大學,"3,626"
輔英科技大學,"1,533"
輔英科技大學,"2,751"
輔英科技大學,103
輔英科技大學,627
輔英科技大學,992
明新科技大學,223
明新科技大學,"7,433"
明新科技大學,21
明新科技大學,37
明新科技大學,286
明新科技大學,"2,979"
明新科技大學,693
明新科技大學,214
長榮大學,46
長榮大學,308
長榮大學,"7,387"
長榮大學,122
長榮大學,385
弘光科技大學,14
弘光科技大學,186
弘光科技大學,"7,221"
弘光科技大學,699
弘光科技大學,260
弘光科技大學,92
弘光科技大學,"3,312"
弘光科技大學,786
弘光科技大學,130
中國醫藥大學,385
中國醫藥大學,482
中國醫藥大學,"6,241"
中國醫藥大學,94
中國醫藥大學,1
健行科技大學,283
健行科技大學,"6,627"
健行科技大學,43
健行科技大學,1
健行科技大學,46
健行科技大學,"4,021"
健行科技大學,258
正修科技大學,13
正修科技大學,362
正修科技大學,"8,421"
正修科技大學,76
正修科技大學,200
正修科技大學,185
正修科技大學,"5,069"
正修科技大學,"2,024"
正修科技大學,"1,123"
萬能科技大學,152
萬能科技大學,"6,098"
萬能科技大學,106
萬能科技大學,"2,635"
萬能科技大學,638
萬能科技大學,62
玄奘大學,2
玄奘大學,247
玄奘大學,"1,945"
玄奘大學,142
玄奘大學,72
建國科技大學,151
建國科技大學,"4,002"
建國科技大學,1
建國科技大學,"2,021"
建國科技大學,325
